letter,english_pct,chromium_all_pct,chromium_initial_pct,all_count,initial_count,all_weight_frequency,initial_weight_frequency
a,8.167,8.249081539579224,6.157137334485006,148906043,19803731,8249,6157
b,1.492,2.023118489460906,4.769328829118716,36519771,15340003,2023,4769
c,2.782,4.432811366321002,8.384456678305952,80017684,26967650,4433,8384
d,4.253,4.095203733505771,4.86043884824512,73923452,15633048,4095,4860
e,12.702,11.607556127922928,4.093259188959748,209530630,13165502,11608,4093
f,2.228,2.1510522308291073,4.50945735491937,38829132,14504156,2151,4509
g,2.015,1.9704361979671414,2.3821387538575087,35568791,7661878,1970,2382
h,6.094,2.156912109511758,2.5333858315909716,38934910,8148347,2157,2533
i,6.996,6.948662456432082,6.932042745328234,125431883,22296126,6949,6932
j,0.153,0.23721861189053411,0.45685062357143436,4282087,1469408,237,457
k,0.772,0.9811238897531007,1.2895149581403957,17710490,4147578,981,1289
l,4.025,4.519486970385689,2.5376810248692436,81582285,8162162,4519,2538
m,2.406,2.698591798492678,3.566408263092518,48712893,11470946,2699,3566
n,6.749,6.637514853249352,3.3687575525564,119815287,10835225,6638,3369
o,7.507,6.468223369159956,3.0322093388221973,116759368,9752756,6468,3032
p,1.929,3.0394949413674066,5.0258232212052425,54866613,16164988,3040,5026
q,0.095,0.2994262392784331,0.2933777126652248,5405011,943616,299,293
r,5.987,6.754920279809567,3.8586182055114024,121934599,12410806,6755,3859
s,6.327,6.743933990592257,8.25360796002194,121736283,26546790,6744,8254
t,9.056,9.331572832504884,9.464575445514532,168446339,30441729,9332,9465
u,2.758,3.099218305490309,2.74661209751338,55944693,8834165,3099,2747
v,0.978,1.2691227063653976,2.1295642891580577,22909222,6849501,1269,2130
w,2.36,1.1011023824061998,2.351543235584984,19876249,7563471,1101,2352
x,0.15,1.7403462427799126,6.3009956848744135,31415385,20266435,1740,6301
y,1.974,1.1852027044621474,0.4226709584938482,21394363,1359473,1185,423
z,0.074,0.2586656304822537,0.27954386359416283,4669232,899121,259,280
