project,id,pattern,flags,hash,english,chromium_all,chromium_initial,chromium_all_vs_english_pct,chromium_all_vs_hash_pct,chromium_initial_vs_english_pct,chromium_initial_vs_hash_pct
vllm,literal_parallel,get_tensor_model_parallel_world_size,-F,8.844875,8.842542,8.584542,8.522583,-2.917713028674329,-2.943320284345441,-3.618405205200048,-3.643827640300179
vllm,word_sampling,\bSamplingParams\b,,10.043958,10.221167,10.188541,10.878958,-0.3192003418004852,1.4395022360706777,6.43557628986986,8.31345571138391
vllm,word_asyncmock,\bAsyncMock\b,,6.631625,6.509667,6.668208,6.660875,2.435470201471124,0.5516445818332549,2.3228223502062217,0.44106836559667517
vllm,def_forward,def\s+forward\b,,17.037709,17.108417,17.126417,17.706291,0.10521137052013074,0.520656855918844,3.4946190521308873,3.9241308793336094
vllm,async_def,async\s+def\s+\w+,,14.048,13.966167,14.176583,14.094667,1.506612372600169,0.9153117881548933,0.9200806491859836,0.33219675398632464
vllm,class_attention,^class[ \t]+\w*Attention\b,,13.142125,12.529166,12.601208,12.870208,0.5749943771197419,-4.11590210867725,2.721984847195724,-2.069048955172781
vllm,python_import,^from[ \t]+vllm(?:\.[\w.]+)?[ \t]+import\b,,45.975667,48.028625,48.147542,47.570417,0.24759609503708369,4.7239662667645455,-0.9540310596024781,3.4686826838205453
vllm,decorator,^[ \t]*@(?:torch|pytest)\.[A-Za-z_]+,,20.563916,21.621292,21.1855,21.173291,-2.0155687273452405,3.0226927594919184,-2.0720362131920744,2.963321771981553
vllm,logger,logger\.(warning|error)\(,,10.327292,10.280833,10.346041,10.337791,0.6342676707227879,0.18154807668844253,0.5540212548924783,0.10166266239008959
vllm,exceptions,\b(ValueError|RuntimeError|NotImplementedError)\b,,23.833833,23.157333,22.693583,23.108916,-2.0026053950167766,-4.78416543407012,-0.2090784806696,-3.0415460240910352
vllm,cache,\b(kv_cache|block_size)\b,,20.154917,19.185708,18.906375,18.914333,-1.455943142676841,-6.19472657714244,-1.414464350234057,-6.155242415535634
vllm,tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,,19.580167,19.28225,19.771042,19.360459,2.534932386002664,0.974838467925232,0.4056010061066484,-1.1220946174769653
vllm,env_vars,\b(VLLM|CUDA)_[A-Z0-9_]+\b,,18.793709,18.839584,18.776917,19.013375,-0.33263473333592364,-0.08934904759885232,0.9224779060938992,1.1688272921539955
vllm,cuda_call,\btorch\.cuda\.[a-z_]+\(,,9.706292,9.836375,9.886959,9.655416,0.5142544890775147,1.8613390159702536,-1.839691959690426,-0.5241548471857094
vllm,config_assignment,\bmax_(model_len|num_seqs)[ \t]*=,,12.905333,13.249083,13.819959,13.095458,4.308796314431729,7.0871941080482115,-1.1595142093984934,1.4732281607921394
vllm,raise_error,raise[ \t]+\w*Error\(,,20.83,22.868209,22.41125,22.797166,-1.9982281953081715,7.591214594335094,-0.3106627195859524,9.443907825252062
