pair,count,probability_pct,independent_probability_pct,actual_over_independent,weight_frequency
aa,13403933,0.9035441057013727,0.68046001,1.3278430656070042,90354411
ab,4713527,0.3177335740125136,0.16687727,1.9039955172595622,31773357
ac,7943504,0.5354627047013198,0.36567816999999997,1.4643004385559026,53546270
ad,4875493,0.3286515206050569,0.33779655,0.9729274043949144,32865152
ae,510522,0.03441371602878619,0.9575439200000001,0.03593956925629708,3441372
af,1061485,0.07155351455728864,0.17743599,0.40326381675605183,7155351
ag,5027701,0.33891169135050864,0.1625053,2.085542387543721,33891169
ah,270526,0.01823585456141638,0.17793093000000001,0.10248839008156918,1823585
ai,3531148,0.23803073036542266,0.57322301,0.41524978274236174,23803073
aj,189193,0.012753288157286357,0.01955013,0.6523377674361427,1275329
ak,1395667,0.09408034875822772,0.08092269,1.1625954198782533,9408035
al,12143782,0.8185987386703908,0.37277231,2.1959751749543592,81859874
am,7125140,0.4802977043601366,0.22264050999999999,2.1572790340811587,48029770
an,17642685,1.1892736289039958,0.54756862,2.171917062931758,118927363
ao,159784,0.010770860417266196,0.53354532,0.02018733931967803,1077086
ap,3891788,0.26234106870269597,0.2507696,1.0461438256578788,26234107
aq,205422,0.013847266864239576,0.02466451,0.5614247704186938,1384727
ar,10528567,0.7097189052147593,0.5572199499999999,1.2736782041180674,70971891
as,9968278,0.6719504514751504,0.55631256,1.2078649661894214,67195045
at,24600465,1.6582897831750516,0.76979668,2.1541919136037992,165828978
au,2934692,0.19782429967748816,0.25563651000000004,0.7738499468541804,19782430
av,1728564,0.11652056254888678,0.10467981000000001,1.1131140049727524,11652056
aw,614996,0.041456191315632614,0.09082149,0.4564579519190074,4145619
ax,642511,0.043310946637699146,0.1435326,0.30174989262160057,4331095
ay,2412683,0.16263625784878996,0.09775065,1.6637869707136472,16263626
az,220275,0.014848490952869569,0.02136491,0.6949943132393054,1484849
ba,5036444,0.3395010471848109,0.16687727,2.034435529684845,33950105
bb,477480,0.03218639182919606,0.04092529,0.7864670434637374,3218639
bc,894385,0.06028949077690273,0.08967959,0.6722766102844887,6028949
bd,455034,0.030673332117798442,0.08284185,0.3702637268216299,3067333
be,3276433,0.22086067759928862,0.23482984,0.9405136825851801,22086068
bf,310630,0.020939220268708997,0.04351473,0.4811984417393604,2093922
bg,243840,0.016436981200534405,0.039853099999999995,0.41243921302318776,1643698
bh,84919,0.00572429464635901,0.04363611,0.13118251481076132,572429
bi,1631975,0.11000960627764983,0.14057827,0.7825505768256348,11000961
bj,507366,0.03420097360478321,0.00479451,7.133361616678911,3420097
bk,102924,0.006937991523473601,0.01984563,0.3495979479348149,693799
bl,4375067,0.2949183646246656,0.09141937,3.225994279162781,29491836
bm,216779,0.014612829509804165,0.05460076999999999,0.2676304658305032,1461283
bn,140955,0.009501618623365021,0.13428674,0.07075619397242812,950162
bo,2946836,0.19864291311129428,0.13084764,1.5181237744241647,19864291
bp,132042,0.008900803279531511,0.0614992,0.144730391282025,890080
bq,74649,0.005032005452914586,0.00604877,0.8319055697132782,503201
br,2205951,0.14870068535228045,0.13665365,1.0881574356212254,14870069
