scenario,step,version,refresh_ms,segments,rss_bytes,active_bytes,retained_bytes
repeated,1,before,75.474791,2,28590080,66011541,68475611
repeated,1,after,54.132833,2,25788416,66011541,66011541
repeated,2,before,70.056209,3,28508160,66443367,70139631
repeated,2,after,62.510833000000005,2,26116096,66011726,66443261
repeated,3,before,80.713,4,28524544,66875297,71803861
repeated,3,after,52.897125,2,26558464,66011830,66875085
repeated,4,before,68.72875,5,27803648,67307539,73468509
repeated,4,after,57.898125,2,25706496,66012142,67307221
repeated,5,before,74.52041700000001,6,28327936,67739906,75133388
repeated,5,after,51.315375,2,27066368,66012267,67739482
repeated,6,before,70.184209,7,27951104,68172399,76798499
repeated,6,after,64.514958,2,27607040,66012393,68171869
repeated,7,before,76.414708,8,27967488,68605001,78463825
repeated,7,after,55.134292,2,27033600,66012502,68604365
repeated,8,before,841.122792,1,227737600,65599014,144062097
repeated,8,after,60.786375,2,26509312,66012629,69036988
repeated,9,before,75.716709,2,29523968,66031870,145727041
repeated,9,after,50.435584,2,27426816,66012756,69469738
repeated,10,before,70.965417,3,28033024,66464853,147392218
repeated,10,after,61.017375,2,27000832,66012883,69902615
repeated,11,before,76.057708,4,28950528,66897949,149057614
repeated,11,after,55.418333,2,26361856,66012996,70335605
repeated,12,before,72.411375,5,29769728,67331377,150723448
repeated,12,after,64.386125,2,27574272,66013328,70768927
repeated,13,before,75.505333,6,28229632,67764896,152389479
repeated,13,after,57.566708,2,27033600,66013419,71202340
repeated,14,before,70.720417,7,30703616,68198523,154055724
repeated,14,after,64.514083,2,27426816,66013527,71635861
repeated,15,before,80.95525,8,30834688,68632255,155722180
repeated,15,after,55.975167,2,28344320,66013632,72069487
repeated,16,before,850.316292,1,229294080,65599952,221321390
repeated,16,after,63.015125000000005,2,27574272,66013713,72503194
repeated,17,before,79.86479100000001,2,28803072,66033875,222987401
repeated,17,after,50.340084,2,25903104,66013823,72937011
repeated,18,before,71.882917,3,30097408,66467904,224653624
repeated,18,after,59.825375,2,26951680,66013929,73370934
repeated,19,before,76.794791,4,30081024,66902033,226320053
repeated,19,after,54.269,2,28311552,66014029,73804957
repeated,20,before,71.902125,5,30605312,67336288,227986714
repeated,20,after,64.48816599999999,2,27607040,66014155,74239106
repeated,21,before,76.653333,6,29196288,67770635,229653573
repeated,21,after,54.083667000000005,2,28721152,66014247,74673347
repeated,22,before,71.53708400000001,7,29097984,68205069,231320625
repeated,22,after,62.462334,2,26509312,66014334,75107675
repeated,23,before,77.032666,8,29556736,68639586,232987866
repeated,23,after,55.047417,2,26198016,66014417,75542086
