id,family,pattern,matches,short_branch,hash,english,chromium_all,chromium_pairs,hash_change_pct,hash_ci_lo,hash_ci_hi,hash_clear_gain,hash_clear_regression,english_change_pct,english_ci_lo,english_ci_hi,english_clear_gain,english_clear_regression,chromium_all_change_pct,chromium_all_ci_lo,chromium_all_ci_hi,chromium_all_clear_gain,chromium_all_clear_regression
identifier:get_tensor_model_parallel_world_size,identifier,get_tensor_model_parallel_world_size,580,False,9.019833,8.701959,8.813709,8.805,-2.3817846738404147,-4.987414833258008,-0.15162521618768965,False,False,1.1841126808342706,-2.239692800736004,2.629154870658046,False,False,-0.09881197575276612,-2.935178412572903,2.4527538926330417,False,False
or_two:get_tensor_model_parallel_world_size,or_two,(?:get|size),115903,False,89.4025,88.58275,89.120959,88.448791,-1.0667587595425188,-2.5629923651004582,0.1019239118561277,False,False,-0.15122470232635798,-1.0521684704894452,0.9947933780664497,False,False,-0.754219891193042,-2.0207781765043453,0.4854507851528078,False,False
or_all:get_tensor_model_parallel_world_size,or_all,(?:get|tensor|model|parallel|world|size),192607,False,127.237333,125.899,126.893625,125.978708,-0.9891947357934749,-2.3782986146542395,-0.5871937762722101,False,False,0.0633110668075254,-0.7831891604654917,0.4263004471838583,False,False,-0.7210110042959239,-2.987766597032493,-0.029470127161213,False,False
identifier:get_device_total_memory,identifier,get_device_total_memory,11,False,6.887083,6.583208,6.6675,6.690291,-2.8574071199664597,-4.950905323844712,-0.629917329879448,False,False,1.6266081825152767,-2.470423398907917,6.1226745239479685,False,False,0.3418222722159747,-2.3639194698599875,3.159415715632874,False,False
or_two:get_device_total_memory,or_two,(?:get|memory),51615,False,57.059667,56.422541,56.954625,56.560958,-0.8740131623971803,-2.046009477640398,0.5839228027291199,False,False,0.24532216654331584,-0.6402178581707996,1.1938061019358681,False,False,-0.6911940865206301,-3.038772708338522,0.2792503152293735,False,False
or_all:get_device_total_memory,or_all,(?:get|device|total|memory),77423,False,71.654541,71.269292,71.608958,71.022291,-0.8823585932955735,-2.3905972688891497,1.1901436923585917,False,False,-0.34657423003443544,-1.2020022103228722,1.8340135239831135,False,False,-0.8192648187954399,-2.8995671158430825,1.2545567273859914,False,False
identifier:get_image_segment_len,identifier,get_image_segment_len,2,False,6.58725,6.697375,6.66025,6.730667,2.177190785229044,0.15779289517201533,4.382110284296914,False,False,0.497090277907386,-1.569444908412676,3.343349612563218,False,False,1.057272624901473,-0.6922713238146527,3.9625517721384673,False,False
or_two:get_image_segment_len,or_two,(?:get|len),87378,False,75.061666,74.434708,74.99825,74.792541,-0.35853853816674164,-1.3199451416367802,0.28183043052580903,False,False,0.48073406830586585,-1.0844714508409736,0.9531356673045055,False,False,-0.2742850666515584,-1.0932675040203677,0.4887829315738834,False,False
or_all:get_image_segment_len,or_all,(?:get|image|segment|len),103930,False,84.922541,84.431209,84.592458,83.918083,-1.1827931526448343,-2.439160766101367,0.10668854954569706,False,False,-0.6077444656750086,-2.3209135802829017,0.27016980095331267,False,False,-0.7972046396854893,-2.199737328969942,0.21249006674617377,False,False
identifier:gather_specific_token_logprobs,identifier,gather_specific_token_logprobs,2,False,6.6905,6.375167,6.7065,6.484542,-3.0783648456767065,-4.898231642042871,-1.0134049271142587,False,False,1.7156413314349361,0.006445698015644652,3.9956179663380054,False,False,-3.3095951688660197,-4.770565560474649,-0.6918968237373924,False,False
