project,id,pattern,flags,baseline,optimized,baseline_no_refresh,optimized_no_refresh,rg,default_change_pct,no_refresh_change_pct
vllm,literal_parallel,get_tensor_model_parallel_world_size,-F,24.244834,24.4865,9.0765,8.668209,66.688,0.9967731682551273,-4.498330854404231
vllm,word_sampling,\bSamplingParams\b,,25.161459,25.670875,10.06825,10.087291,67.509583,2.024588478752354,0.18911926104336896
vllm,word_asyncmock,\bAsyncMock\b,,22.155625,21.805625,6.821458,6.787917,66.3655,-1.5797342661288072,-0.49169840230636197
vllm,def_forward,def\s+forward\b,,32.245417,32.295875,16.997708,16.904709,68.371625,0.15648115203472646,-0.5471267067301055
vllm,async_def,async\s+def\s+\w+,,29.31325,29.4695,13.99325,14.001042,68.178458,0.5330354020792738,0.055683990495425384
vllm,class_attention,^class[ \t]+\w*Attention\b,,28.0475,27.80225,13.237958,12.862834,67.682459,-0.8744094839112204,-2.833699880298768
vllm,python_import,^from[ \t]+vllm(?:\.[\w.]+)?[ \t]+import\b,,60.835208,62.363291,45.239917,47.169459,90.107292,2.5118398543159337,4.265131609326356
vllm,decorator,^[ \t]*@(?:torch|pytest)\.[A-Za-z_]+,,35.410333,36.774167,20.120417,21.433709,73.9425,3.8515141893751714,6.527160943036114
vllm,logger,logger\.(warning|error)\(,,25.79775,25.818833,10.236708,10.510125,68.334375,0.08172418137240012,2.670946558209919
vllm,exceptions,\b(ValueError|RuntimeError|NotImplementedError)\b,,37.842291,38.351625,22.727167,22.505958,75.600666,1.3459385955252978,-0.9733241279038518
vllm,cache,\b(kv_cache|block_size)\b,,35.321083,34.106833,19.963458,18.499917,69.465125,-3.4377484971228056,-7.331099652174489
vllm,tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,,34.913417,34.621584,19.311333,19.403834,73.012167,-0.8358763623738219,0.4789985238201844
vllm,env_vars,\b(VLLM|CUDA)_[A-Z0-9_]+\b,,33.741458,33.644583,18.629375,18.552042,72.563792,-0.2871097034396253,-0.4151132284362702
vllm,cuda_call,\btorch\.cuda\.[a-z_]+\(,,25.280208,25.11175,9.83725,9.800833,67.306833,-0.6663631881509757,-0.37019492236141094
vllm,config_assignment,\bmax_(model_len|num_seqs)[ \t]*=,,28.0935,28.926416,12.563875,13.357209,68.119375,2.964799686760289,6.31440538846495
vllm,raise_error,raise[ \t]+\w*Error\(,,35.255958,37.549792,20.277625,22.314834,75.76775,6.506230805017399,10.046585830441202
vllm,todo_comment,^[ \t]*#.*\b(TODO|FIXME)\b,,27.092875,27.300209,11.896,11.746375,68.425208,0.7652713121069743,-1.2577757229320863
vllm,return_none,^[ \t]*return[ \t]+None[ \t]*$,,46.576084,48.401959,31.664208,32.179625,70.346125,3.920198615237802,1.6277590142156795
vllm,quoted_device,"[\""'](?:cuda|cpu|rocm)[\""']",,28.795416,28.224583,13.155458,13.321375,69.706459,-1.982374555727895,1.2612027646623947
vllm,icase_sampling,\bSamplingParams\b,-i,27.453042,28.102667,12.345875,13.317417,68.001791,2.366313357914951,7.86936527382629
vllm,icase_platform,\b(cuda|rocm)\b,-i,41.377208,41.975833,26.926708,26.985334,75.460084,1.4467505879081966,0.2177243501136461
vllm,icase_todo,\b(TODO|FIXME)\b,-i,27.573375,27.632584,12.558375,12.305709,68.985041,0.21473250916872466,-2.011932276269812
vllm,icase_env,\b(VLLM|CUDA)_[A-Z0-9_]+\b,-i,53.165834,53.620167,38.457375,38.4135,80.373417,0.8545582112000849,-0.11408734995562719
vllm,icase_logger,logger\.(warning|error)\(,-i,27.994167,27.319834,12.716667,12.126875,68.264042,-2.4088339545877524,-4.637944832557139
vllm,icase_literal,get_tensor_model_parallel_world_size,-i -F,30.405208,25.513792,14.948708,9.9765,67.124917,-16.087428180067043,-33.26179091865331
vllm,digits,"\b[0-9]{2,4}\b",,120.941792,121.420417,105.925416,106.553333,95.177292,0.3957482290323444,0.5927916299143909
vllm,hex_number,\b0x[0-9A-Fa-f]+\b,,25.32525,25.309542,10.272875,10.307334,66.72875,-0.062025054046854766,0.3354367691615012
vllm,short_word,\bif\b,,102.955875,102.336458,87.952958,88.321083,92.897209,-0.6016334667642953,0.41854760586903517
vllm,blank_lines,^[ \t]*$,,182.170125,183.763875,169.410708,166.792333,101.846917,0.8748690269603676,-1.545578216933008
vllm,absent_regex,\bCODERG_BENCH_ABSENT_[0-9]{8}\b,,22.143,22.032333,6.473959,6.604833,65.991958,-0.49978322720498625,2.0215450854724315
vllm,wide_icase_asyncmock,\basyncmock\b,-i,22.809708,22.336083,7.709709,7.330125,65.96225,-2.076418514432543,-4.923454309364983
vllm,wide_icase_cache,\b(kv_cache|block_size)\b,-i,49.506792,48.6635,34.124125,33.408375,69.601375,-1.7033864767484808,-2.0974896792225417
vllm,wide_icase_class_attention,class[ \t]+\w*Attention\b,-i,32.743042,32.945125,18.017416,17.379167,66.917875,0.6171784527533974,-3.542400308679128
vllm,wide_icase_def_forward,def[ \t]+forward\b,-i,33.45425,33.842333,18.066833,18.611125,68.294125,1.1600409514486154,3.0126586103939923
vllm,wide_icase_config,\bmax_(model_len|num_seqs)\b,-i,33.144041,32.782791,18.24375,17.602583,70.656792,-1.0899395158242675,-3.5144474134977677
vllm,wide_icase_exceptions,\b(ValueError|RuntimeError|NotImplementedError)\b,-i,55.608458,54.976167,40.622459,40.18325,75.418542,-1.1370410594733649,-1.0811974725606799
vllm,wide_icase_tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,-i,39.058375,38.7475,23.262583,24.4305,73.128292,-0.7959240495796216,5.020581764286458
vllm,wide_icase_async_def,async[ \t]+def[ \t]+\w+,-i,28.857458,29.094625,13.877792,13.807208,69.32,0.8218568662561987,-0.5086111681166572
viberwhisper,word_return,\breturn\b,,6.286292,6.46375,4.762625,4.892125,7.470791,2.8229360010638915,2.719088737828401
viberwhisper,errors,\b(Error|Result|Exception|ValueError)\b,,6.559167,6.514375,5.115166,5.03275,7.563125,-0.6828915927891477,-1.6112087075962012
viberwhisper,todo,\b(TODO|FIXME)\b,-i,5.882541,5.828209,4.362417,4.436333,7.623417,-0.9236144720453199,1.6943818071495809
viberwhisper,short,if,-F -l,6.711083,6.642958,5.074375,5.105375,7.40675,-1.015111867935481,0.6109126739746396
viberwhisper,digits,"\b[0-9]{2,4}\b",-c,6.774334,6.830667,5.432125,5.440958,7.34325,0.8315651398351553,0.16260671468348864
viberwhisper,absent,CODERG_WIDE_ABSENT_92be7,-F,5.494875,5.760375,4.137291,4.140417,6.720375,4.831775063126997,0.07555668673051574
viberwhisper,literal,Transcription,-F,5.968333,6.161916,4.555416,4.618125,7.361625,3.2435019962860467,1.3765811947800133
viberwhisper,icase_literal,transcription,-i -F,7.009916,6.795667,5.484042,5.469834,7.576416,-3.056370432969524,-0.2590789786073855
viberwhisper,function,\bfn[ \t]+[a-z_][a-z_0-9]*,,6.526208,6.688458,5.132791,5.19475,7.335,2.486129770917511,1.2071210380473207
viberwhisper,public,\bpub(?:\([^\n)]*\))?[ \t]+(?:struct|enum|fn)\b,,6.7115,6.543,5.160625,5.102875,7.822584,-2.5106161066825616,-1.1190505026038466
viberwhisper,impl,^impl(?:<[^\n>]+>)?[ \t]+,,6.167792,6.1905,4.802917,4.81575,7.597875,0.3681706516691863,0.2671917919880862
viberwhisper,use,^use[ \t]+(?:std|crate)::,,6.251917,6.241375,4.893458,4.804125,7.600208,-0.16862028078747926,-1.8255597575375093
viberwhisper,derive,#\[derive\(,,5.991375,6.02875,4.579333,4.544875,7.409708,0.6238133984268979,-0.7524676628670512
viberwhisper,unwrap,\.(?:unwrap|expect)\(,,6.163917,6.033458,4.759625,4.677417,6.938666,-2.1164950793464476,-1.7271948945557614
viberwhisper,async,\basync[ \t]+fn[ \t]+\w+,,6.032334,6.033959,4.537,4.4955,7.966583,0.026938163569867335,-0.914701344500779
viberwhisper,common_files,self,-F -l,6.096833,6.066625,4.672833,4.617,7.327541,-0.49547035321453325,-1.1948426147478375
agentflow,word_return,\breturn\b,,6.248708,6.261958,5.180375,5.035583,7.289917,0.21204383370130309,-2.795010013753829
agentflow,errors,\b(Error|Result|Exception|ValueError)\b,,6.292959,6.0675,4.90675,4.906459,7.222375,-3.582718400040419,-0.005930605798132316
agentflow,todo,\b(TODO|FIXME)\b,-i,5.870375,5.767708,4.650291,4.534625,6.738667,-1.748900198028236,-2.4872852043022697
agentflow,short,if,-F -l,6.2565,6.379708,5.0425,5.144458,7.18,1.9692799488531865,2.0219732275656765
agentflow,digits,"\b[0-9]{2,4}\b",-c,7.03875,7.195791,5.918333,5.835583,7.670709,2.2310921683537543,-1.3981977695408432
agentflow,absent,CODERG_WIDE_ABSENT_92be7,-F,5.3955,5.485708,4.151208,4.159833,7.466583,1.67191177833379,0.20777084646204091
agentflow,literal,review_batch,-F,5.492166,5.360667,4.19,4.176375,7.494875,-2.394301264746912,-0.32517899761337343
agentflow,icase_literal,review_batch,-i -F,6.235625,6.103917,4.920833,4.816584,6.819875,-2.1121860278640825,-2.1185234288584986
agentflow,function,\bdef[ \t]+[a-z_][a-z_0-9]*,,6.590667,6.598709,5.256666,5.406,7.29025,0.12202103368295081,2.840850074933421
agentflow,class,^class[ \t]+\w+,,6.243833,6.307958,5.018917,5.006959,9.145,1.0270133746370202,-0.23825857251673632
