dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
vllm,literal_parallel,fixed string,True,580,25.879,26.70975,11.010083,11.519875,67.0255,27.42125,27.994667,3.2101317670698126,"[0.7209174122130735, 5.404770314592344]",17.390625,18.296875,13.6875,14.25,14.84375
vllm,word_sampling,word boundary,True,1348,28.308041,28.040542,12.821333,12.581833,68.962584,30.041458,30.160625,-0.9449576535515147,"[-3.1475830840456354, 1.815016159027194]",18.109375,18.15625,14.78125,14.453125,16.0
vllm,word_asyncmock,word boundary,True,87,24.817458,24.950625,9.462667,9.3225,66.105291,26.828709,26.381,0.5365859791119698,"[-2.457890213480707, 2.330382149165211]",17.375,17.3125,13.5625,13.375,15.03125
vllm,def_forward,whitespace,True,1733,33.558166,34.22025,18.66825,19.399417,68.22025,35.375292,36.270584,1.972944528613385,"[-0.6012324168739647, 4.299912761201563]",26.28125,26.515625,22.921875,23.359375,14.984375
vllm,async_def,whitespace,False,1978,31.211042,31.328709,16.543,16.758333,68.987084,33.970666,33.300208,0.37700439479080305,"[-1.151435443904758, 2.084686350191589]",27.734375,27.34375,24.84375,24.75,15.859375
vllm,class_attention,anchor / repetition,True,220,32.255292,30.893333,17.119625,15.412709,67.294792,34.232084,32.874125,-4.222435809912984,"[-5.447378576513895, -2.852719487357902]",20.421875,20.890625,17.3125,18.09375,16.484375
vllm,python_import,anchor / optional group,True,18746,61.40725,62.615416,45.960541,47.642042,89.732417,65.436666,65.425417,1.9674647537546663,"[0.6532802378187652, 2.947804935879361]",26.140625,26.265625,24.359375,23.671875,17.21875
vllm,decorator,anchor / character class,True,8968,38.740917,37.979,23.589875,22.795416,74.159458,40.102583,39.055375,-1.966698413462964,"[-3.5014877069432293, 0.5934877056643417]",21.5,19.390625,18.453125,16.109375,16.078125
vllm,logger,group / alternation,True,831,28.230833,27.88375,13.146542,12.703416,67.742291,30.417583,29.173625,-1.2294465416589073,"[-3.5606561838124273, 1.0678006353928904]",18.40625,18.578125,15.046875,15.09375,15.875
vllm,exceptions,group / alternation,True,6725,39.223917,39.760666,23.816458,24.556583,75.947958,41.975042,42.335209,1.368422740645725,"[-0.8028835363263487, 3.7972936818275294]",22.5625,22.59375,19.453125,20.359375,16.6875
vllm,cache,group / alternation,True,8041,40.8795,36.750625,26.181708,21.936667,69.629041,42.034917,39.113917,-10.100111302731197,"[-11.773782882052764, -8.427922340382764]",27.796875,20.34375,25.0,17.359375,16.546875
vllm,tensor_creation,two alternative groups,True,5133,38.306625,36.693291,23.244541,21.329625,72.713667,40.189958,38.432125,-4.211631799982363,"[-6.164730323053702, -1.8213959215290676]",27.578125,19.84375,24.953125,16.640625,15.96875
vllm,env_vars,character class / repetition,True,6332,36.979542,36.617875,21.308625,21.101042,73.333792,38.472,38.034917,-0.9780191436659869,"[-3.2903969393505816, 0.08226519431313584]",21.5625,19.765625,18.625,16.09375,16.59375
vllm,cuda_call,escaped punctuation,True,611,27.165417,27.509625,11.657,12.125459,67.252792,28.478375,29.446041,1.2670815986369766,"[-0.2878281072088873, 3.9427759069376345]",18.21875,18.359375,14.59375,14.59375,15.015625
vllm,config_assignment,optional whitespace,True,1547,29.423125,30.769625,14.898125,14.858042,68.74875,31.111416,32.283334,4.576332391613747,"[2.3836746398821607, 5.665276897774429]",18.3125,18.921875,15.359375,15.625,16.65625
