repository,step,commit,current_phase,main_phase,current_ms,no_sync_ms,main_ms,rg_ms,middle_before_update_mib,middle_entering_merge_mib,middle_after_update_mib,base_after_mib,main_middle_after_mib
viberwhisper,1,55392aa9b320b1ef6746d16d10881cc9a009feda,incremental,incremental,22.163167,6.155625,10.298665999999999,5.707917,0.0,,0.018268585205078125,0.0704498291015625,0.018268585205078125
viberwhisper,2,c5036467db679a39037dbe18153fb8897646b398,incremental,incremental,21.512166999999998,5.919333,10.150625,5.878375,0.018268585205078125,,0.026197433471679688,0.0704498291015625,0.04446601867675781
viberwhisper,3,600541c7091156d4f9a37eaf72ed3bf1b1c431ce,incremental,incremental,24.829,6.014084,9.843417,5.642708,0.026197433471679688,,0.0453643798828125,0.0704498291015625,0.06363296508789062
viberwhisper,4,7932c30b53573ebd8437c4d8f11cac03d6443461,incremental,incremental,23.479665999999998,6.2816670000000006,9.722041,5.624,0.0453643798828125,,0.04060173034667969,0.0704498291015625,0.0850677490234375
viberwhisper,5,2a68d0c0cb9b68961b09e6381ad30f8de532e340,incremental,incremental,24.7545,6.034708,10.000375,5.750583,0.04060173034667969,,0.04219532012939453,0.0704498291015625,0.08666133880615234
viberwhisper,6,abb59204e308d524b40c6524f09673372620b28b,incremental,incremental,22.632833,5.948625,10.451542,5.659708,0.04219532012939453,,0.06847858428955078,0.0704498291015625,0.1129446029663086
viberwhisper,7,c4ffcf8d34a0305d8339f300dd24849342054d88,metadata,metadata,17.37325,6.90225,6.693709,4.731624999999999,0.06847858428955078,,0.06847858428955078,0.0704498291015625,0.1129446029663086
viberwhisper,8,3eef348d300cb53327e835904b0ab0362ac58d66,incremental,incremental,25.80325,6.564958,6.7466669999999995,5.686375,0.06847858428955078,,0.10470294952392578,0.0704498291015625,0.1491689682006836
viberwhisper,9,d18872f89c5c990af2186129b617f93843a2b734,incremental,rebuild,22.803209000000003,6.464625,10.38675,5.8205,0.10470294952392578,,0.15183353424072266,0.0704498291015625,0.0
viberwhisper,10,e67029bb5f5962a6232fea4663a30ff0a4b8e972,incremental,incremental,23.794541,5.769709,6.0445,5.67975,0.15183353424072266,,0.15413665771484375,0.0704498291015625,0.0023031234741210938
viberwhisper,11,4ade1bf52e9ffbeaa8191946b5a22370ba838058,incremental,incremental,24.886583,6.883584,6.758042,5.37575,0.15413665771484375,,0.19720077514648438,0.0704498291015625,0.04767036437988281
viberwhisper,12,9d3eddd916ca1d982bda628f1d07858612689706,incremental,incremental,25.368042,7.244667,6.897666,5.747167,0.19720077514648438,,0.2376699447631836,0.0704498291015625,0.08813953399658203
viberwhisper,13,55336634d4a20283fc5f08f0d5997352714cfe52,incremental,incremental,25.956958,8.05925,7.943792,6.161708,0.2376699447631836,,0.26749420166015625,0.0704498291015625,0.15856552124023438
viberwhisper,14,5fb3f5a6555c65631c46fc91343a9458e03a1676,incremental,incremental,25.014417,7.007625,7.6853750000000005,5.652375,0.26749420166015625,,0.31321144104003906,0.0704498291015625,0.2405071258544922
viberwhisper,15,dc8f7b7facad195ae896883d8d0c8ca2a8db7644,incremental,incremental,25.402125,7.431667,7.679917,6.962958,0.31321144104003906,,0.13258838653564453,0.0704498291015625,0.3730955123901367
viberwhisper,16,8655cb9893f83dcd588811e14d18be36c1c481dc,incremental,incremental,26.045208,7.072375,7.650875,4.530959,0.13258838653564453,,0.2125988006591797,0.0704498291015625,0.45218467712402344
viberwhisper,17,bde010333b5ba28a4641bad0da77624c1b4d290a,incremental,rebuild,22.241125,6.632333,11.440999999999999,4.5444580000000006,0.2125988006591797,,0.25063419342041016,0.0704498291015625,0.0
viberwhisper,18,205f9b6e6d20716a7d6366d288fa13c2dc7bee28,incremental,incremental,26.336333,6.391833,7.598875,5.723083,0.25063419342041016,,0.2675485610961914,0.0704498291015625,0.013996124267578125
viberwhisper,19,46bf111fce70fa22d4e7ea6059fe9bf86e25ff77,incremental,incremental,26.607042,7.812625,7.400666999999999,5.5742910000000006,0.2675485610961914,,0.37453174591064453,0.0704498291015625,0.11535835266113281
viberwhisper,20,65c8f3488c9e6c2214688cc762f96b2b68a47e8d,incremental,incremental,25.11075,6.998417,6.899500000000001,5.670833,0.37453174591064453,,0.39829158782958984,0.0704498291015625,0.1345367431640625
viberwhisper,21,20ee3046a1428a9fd5deb429d79a67edc4558938,incremental,incremental,24.181375000000003,6.924874999999999,7.08525,4.503125,0.39829158782958984,,0.39869213104248047,0.0704498291015625,0.15403461456298828
viberwhisper,22,818ad374473f4bf1f2d8091255e636c1a384f202,incremental,incremental,28.124125,7.5395829999999995,8.327459000000001,5.67075,0.39869213104248047,,0.5667924880981445,0.0704498291015625,0.3062314987182617
viberwhisper,23,4d626065eaaecbcbdef4404bc82f1bbfe4d0a9a6,incremental,incremental,25.405542,7.381291,7.37325,5.672791,0.5667924880981445,,0.596156120300293,0.0704498291015625,0.33559513092041016
viberwhisper,24,388998fc20daf746b54f21fef362d439093ba4a9,middle_merge,incremental,35.717833999999996,8.963375000000001,7.788209,6.081583,0.596156120300293,0.677433967590332,0.6367435455322266,0.0704498291015625,0.4026327133178711
viberwhisper,25,ca0c6265d36398ac7d9cb209b3abbd71cec126a6,incremental,rebuild,26.858416,6.757167,12.519333000000001,6.893166,0.6367435455322266,,0.6462326049804688,0.0704498291015625,0.0
viberwhisper,26,b424f4d7f12a06682d85530d65a6c99245d86066,incremental,incremental,26.352416,6.3711660000000006,7.179709,4.484417,0.6462326049804688,,0.6516590118408203,0.0704498291015625,0.0054264068603515625
viberwhisper,27,c6becc366e6cfaee7ac31a1d9a83bfdfe03662a1,incremental,incremental,26.05875,7.984750000000001,7.521624999999999,5.77875,0.6516590118408203,,0.6438131332397461,0.0704498291015625,0.07378959655761719
viberwhisper,28,d2f57924db3a392b3927d72fc4053a1840324eeb,incremental,incremental,28.067,7.911125,7.592542,4.615125,0.6438131332397461,,0.7353048324584961,0.0704498291015625,0.15811824798583984
viberwhisper,29,7eb6ff3cda3bb89e776d064493cdcdd7854cefb5,incremental,incremental,25.495875,7.902125,7.775833,5.777416,0.7353048324584961,,0.8016729354858398,0.0704498291015625,0.2184600830078125
viberwhisper,30,f448b2d0296b525a1a2bd9871b5dfe157837b77e,middle_merge,incremental,38.844792000000005,9.813291999999999,8.008750000000001,5.861542,0.8016729354858398,0.8954906463623047,0.7922239303588867,0.0704498291015625,0.3051605224609375
viberwhisper,31,47aa14a31e08daa17ee6c2f9465a0327463b0fab,incremental,incremental,26.583209,8.989208999999999,8.581667,5.627792,0.7922239303588867,,1.0116996765136719,0.0704498291015625,0.509699821472168
viberwhisper,32,753674caaceb5c4961ef66eed5704e1d649b7944,incremental,incremental,26.079083,7.459375,8.112665999999999,5.762417,1.0116996765136719,,1.0636177062988281,0.0704498291015625,0.5587844848632812
viberwhisper,33,85c0a03404aafa681eeaecbe9b6031ea23e870a9,middle_merge,rebuild,34.959542000000006,9.606666,13.056375000000001,5.822792000000001,1.0636177062988281,1.0731182098388672,0.846949577331543,0.0704498291015625,0.0
viberwhisper,34,82e358202daf483fe9cff04df1576e8c0774c0fe,incremental,incremental,26.864124999999998,6.670375,7.48725,5.545625,0.846949577331543,,0.8652229309082031,0.0704498291015625,0.018273353576660156
viberwhisper,35,bae4d1c33f4aa6861eff871586691f605c8c6607,incremental,incremental,27.501209,8.356667,7.771916999999999,4.35925,0.8652229309082031,,0.9217233657836914,0.0704498291015625,0.09713554382324219
viberwhisper,36,db89a4ffe88c7eb76738fc063783ebfbe83f79ed,incremental,incremental,27.176,7.62725,7.299042,7.021208000000001,0.9217233657836914,,0.9854946136474609,0.0704498291015625,0.15209293365478516
viberwhisper,37,dc25e2ec2895d5ad7e5053e60152b64383bfdc55,incremental,incremental,24.156083,7.60475,7.655875,5.728333,0.9854946136474609,,1.0251407623291016,0.0704498291015625,0.1870098114013672
