dataset,query,pattern,baseline_ms,cover_ms,baseline_no_refresh_ms,cover_no_refresh_ms,rg_ms
agentflow,word_return,\breturn\b,7.088042,7.149583,6.014416,5.771667,7.502333
agentflow,errors,\b(Error|Result|Exception|ValueError)\b,6.874,7.183708,5.658375,5.940584,7.743334
agentflow,todo,\b(TODO|FIXME)\b,6.419458,6.827375,5.264125,5.187291,7.316334
agentflow,short,if,7.185375,7.546208,6.301875,5.818375,7.618083
agentflow,digits,"\b[0-9]{2,4}\b",9.9765,9.773375,8.974375,8.783708,8.170333
agentflow,absent,CODERG_WIDE_ABSENT_92be7,6.525917,6.0815,4.968458,5.12525,7.887459
agentflow,literal,review_batch,6.519959,6.171208,4.760875,4.892458,7.156083
agentflow,icase_literal,review_batch,7.182375,6.814625,5.762916,5.583833,7.742791
agentflow,function,\bdef[ \t]+[a-z_][a-z_0-9]*,7.646541,7.2325,6.219666,6.064375,7.497
agentflow,class,^class[ \t]+\w+,7.491166,7.146042,5.951333,6.114625,9.651375
agentflow,import,^from[ \t]+[\w.]+[ \t]+import\b,7.564791,7.801208,6.473792,6.41825,8.157542
agentflow,decorator,^[ \t]*@[A-Za-z_][\w.]*,7.675375,7.8215,6.331084,6.398208,24.168875
agentflow,async,\basync[ \t]+def[ \t]+\w+,7.049542,7.537958,6.040208,6.036083,8.272875
agentflow,db,\b(session|transaction|connection)\b,7.434959,7.738,6.019333,6.267458,8.4935
agentflow,test,\bdef[ \t]+test_\w+,7.545833,7.218,5.914083,6.050459,8.594208
agentflow,common_files,self,7.050917,6.810625,5.4175,5.520834,7.867958
few_large_64,rare_files,CODERG_BENCHMARK_NEEDLE,6.299542,6.397584,5.042,5.560667,8.251
few_large_64,rare_lines,CODERG_BENCHMARK_NEEDLE,6.173167,6.108459,4.834916,5.451709,8.310541
few_large_64,common_files,ordinary_value,15.268792,15.21675,14.36725,14.403083,7.574125
few_large_64,common_count,ordinary_value,15.431083,15.260708,14.451792,14.34425,9.938833
few_large_64,alternation,\b(module_7|module_23)\b,11.720459,11.703833,10.643417,10.605292,10.509833
few_large_64,ignore_case,coderg_benchmark_needle,6.187375,6.953875,6.071334,5.962916,8.973375
few_large_64,short_files,fn,15.466458,15.304292,14.20975,14.516958,7.607417
few_large_64,absent,CODERG_WIDE_ABSENT_92be7,5.3645,5.68675,5.100916,5.065875,8.462083
many_small_16384,rare_files,CODERG_BENCHMARK_NEEDLE,32.828333,33.243542,14.29525,14.059834,148.982041
many_small_16384,rare_lines,CODERG_BENCHMARK_NEEDLE,33.320375,33.059625,14.26625,14.36975,150.670166
many_small_16384,common_files,ordinary_value,179.038041,181.587334,159.057834,162.927375,238.23925
many_small_16384,common_count,ordinary_value,181.860584,181.824125,160.634209,162.470875,238.676917
many_small_16384,alternation,\b(module_7|module_23)\b,174.867208,177.355208,154.079625,158.729875,150.7765
many_small_16384,ignore_case,coderg_benchmark_needle,32.895917,33.317083,14.615459,14.727125,150.164084
many_small_16384,short_files,fn,180.107334,179.934125,156.895375,160.85,238.673709
many_small_16384,absent,CODERG_WIDE_ABSENT_92be7,31.717209,31.439917,12.8805,12.733792,149.036291
regular_4096,rare_files,CODERG_BENCHMARK_NEEDLE,16.366375,16.152667,7.897125,7.78175,36.399292
regular_4096,rare_lines,CODERG_BENCHMARK_NEEDLE,15.530291,15.863667,7.958541,7.697875,36.474541
regular_4096,common_files,ordinary_value,46.313166,47.095583,38.612,38.819417,64.690042
regular_4096,common_count,ordinary_value,46.840833,47.77625,38.398041,39.03625,64.335667
regular_4096,alternation,\b(module_7|module_23)\b,44.709,45.579459,36.422208,37.973666,37.780542
regular_4096,ignore_case,coderg_benchmark_needle,16.398416,16.309125,8.212208,8.331584,36.623917
regular_4096,short_files,fn,45.922417,46.634,38.369708,38.26525,63.677583
regular_4096,absent,CODERG_WIDE_ABSENT_92be7,15.304458,15.346625,7.469667,7.359875,36.110834
small_256,rare_files,CODERG_BENCHMARK_NEEDLE,6.72025,6.337875,5.055125,5.066667,8.15575
small_256,rare_lines,CODERG_BENCHMARK_NEEDLE,6.75375,6.520708,5.1195,5.14575,7.924334
small_256,common_files,ordinary_value,8.867042,8.830417,7.222667,7.277792,9.909625
small_256,common_count,ordinary_value,8.473708,8.71675,7.38375,7.20875,10.782084
small_256,alternation,\b(module_7|module_23)\b,8.407833,8.629917,7.222583,7.159625,8.697583
small_256,ignore_case,coderg_benchmark_needle,6.715875,6.451292,5.330375,5.29775,8.672708
small_256,short_files,fn,8.570459,8.755084,7.364417,6.963834,10.576833
small_256,absent,CODERG_WIDE_ABSENT_92be7,6.143083,6.617458,4.942,5.220708,8.001791
