dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
vllm,literal_parallel,fixed string,True,580,30.597292,26.289625,13.791125,10.798083,67.046291,32.353208,28.072375,-14.078589046377044,"[-17.1888307587867, -11.512344447907685]",14.578125,17.75,11.171875,13.59375,14.6875
vllm,word_sampling,word boundary,True,1348,32.25475,27.866458,15.611917,12.592666,68.314084,34.183917,28.978417,-13.60510312434603,"[-15.85382096319875, -11.503891314135817]",14.828125,17.59375,12.109375,14.65625,15.015625
vllm,word_asyncmock,word boundary,True,87,29.425458,24.922125,12.227833,9.224042,65.551166,35.20325,25.655833,-15.304206989743363,"[-17.983500759666025, -12.486037907082281]",14.578125,17.34375,10.9375,13.5,16.234375
vllm,def_forward,whitespace,True,1733,38.855917,33.658125,21.380292,18.354708,68.327666,41.448,35.117625,-13.377092605998719,"[-14.867313695682205, -11.690239401431935]",23.390625,26.140625,20.34375,23.078125,16.046875
vllm,async_def,whitespace,False,1978,35.6735,30.889583,18.708166,16.188167,68.224083,37.522625,32.813875,-13.410282142206398,"[-14.909993119754683, -10.901217364245907]",24.546875,27.34375,22.125,24.796875,16.03125
vllm,class_attention,anchor / repetition,True,220,36.279042,31.608334,19.815458,16.7795,67.011709,37.830791,33.522333,-12.874397289763051,"[-13.89374174264859, -11.011407081807734]",17.59375,19.890625,14.5625,17.390625,15.359375
vllm,python_import,anchor / optional group,True,18746,65.577792,61.181958,48.742834,45.826542,89.39375,67.441666,63.309959,-6.7032357539576815,"[-8.586189814298596, -5.2145882090502305]",22.578125,25.71875,21.15625,23.34375,17.421875
vllm,decorator,anchor / character class,True,8968,42.986334,39.112542,26.266667,23.322041,74.227875,44.752583,40.127958,-9.011682643139562,"[-10.99322671945523, -8.019216131111817]",18.703125,21.0625,15.765625,17.984375,16.328125
vllm,logger,group / alternation,True,831,32.8835,28.080666,15.89775,13.010292,67.427084,34.152875,29.324,-14.605604634543157,"[-15.94238703520874, -12.792894536808852]",15.34375,18.1875,12.59375,15.015625,15.265625
vllm,exceptions,group / alternation,True,6725,43.309709,38.793083,26.61625,23.643,75.827584,45.307167,40.150666,-10.42866854635296,"[-12.498351532575347, -8.906310506358238]",19.3125,23.203125,16.78125,19.40625,16.578125
vllm,cache,group / alternation,True,8041,45.421375,40.768417,28.667417,26.059917,69.515958,47.902375,42.340917,-10.243983146701297,"[-11.497849347343713, -8.499565695990052]",25.0625,27.90625,22.03125,25.109375,16.515625
vllm,tensor_creation,two alternative groups,True,5133,43.55375,38.382083,26.352959,23.33825,72.857125,44.553958,54.118459,-11.874217489883188,"[-12.815263195424931, -9.310741371530051]",25.140625,27.5625,22.09375,24.96875,15.390625
vllm,env_vars,character class / repetition,True,6332,40.446583,36.389167,23.872042,21.026834,72.782917,42.236292,37.444542,-10.03154209590461,"[-12.114904453275543, -9.082994494186247]",18.46875,21.484375,15.578125,17.96875,15.421875
vllm,cuda_call,escaped punctuation,True,611,31.302875,26.749584,14.231958,11.6015,67.279917,40.144875,28.540333,-14.545919504198901,"[-16.743603613607327, -12.579929629626395]",15.296875,17.890625,12.09375,14.515625,16.0625
vllm,config_assignment,optional whitespace,True,1547,34.577042,29.485958,17.729417,14.712958,68.16025,35.726458,31.454542,-14.723885287816119,"[-16.086444910352593, -11.931541258787338]",15.703125,18.265625,12.734375,15.3125,14.828125
vllm,raise_error,wildcard,True,5675,41.84775,37.240375,25.010375,22.329583,75.212584,42.9905,38.379167,-11.009851186742415,"[-12.75035667949098, -9.448191002674166]",17.578125,20.09375,14.390625,17.125,16.671875
vllm,todo_comment,anchor / wildcard,True,726,105.581167,101.04725,90.326125,87.333375,68.535834,109.8795,104.170791,-4.294247855775257,"[-6.402710214339535, -3.171358214654929]",26.65625,29.46875,23.15625,27.140625,16.421875
vllm,return_none,both anchors,True,1742,56.45775,51.69225,39.476584,36.663,69.454875,57.986625,53.336208,-8.44082521885834,"[-9.614681002067439, -7.563394440240456]",23.953125,26.53125,21.25,23.59375,15.140625
vllm,quoted_device,quote character class,True,2916,35.53125,30.852834,18.851708,16.031167,69.719459,37.105625,31.953083,-13.16704591029023,"[-14.778611083781923, -11.567764901431554]",22.96875,26.0,20.234375,22.609375,14.9375
vllm,icase_sampling,ignore case,True,1348,34.448708,29.679792,18.300417,14.820584,68.16525,35.607084,35.462583,-13.843526439366038,"[-15.484684349671197, -11.343313659252486]",25.734375,28.234375,22.609375,25.25,15.21875
vllm,icase_platform,ignore case / alternation,True,9805,47.135041,42.46075,30.457458,27.342833,75.499708,48.031,44.249792,-9.916806903806453,"[-11.385373342049432, -7.600906670855179]",25.015625,28.296875,22.484375,25.078125,15.140625
vllm,icase_todo,ignore case / alternation,True,890,35.610583,30.864125,18.294291,16.140208,69.08975,38.421709,32.288041,-13.328784872744137,"[-15.052833058244408, -11.204621333627674]",25.84375,28.109375,22.9375,25.34375,17.21875
vllm,icase_env,ignore case / character class,True,20751,57.79325,53.239375,41.302917,38.426625,80.360375,60.834583,55.508417,-7.879596665700572,"[-8.954520385029763, -6.479851885817112]",20.4375,23.125,17.921875,20.375,15.5625
vllm,icase_logger,ignore case / escaped punctuation,True,831,36.940041,32.755,19.954333,17.152833,67.487083,39.922042,34.399417,-11.329280874376934,"[-12.735199603169534, -9.81356449695806]",26.734375,29.1875,23.78125,26.453125,15.484375
vllm,icase_literal,ignore case / fixed string,True,580,35.885167,31.248833,19.355625,16.29925,67.068208,38.648,33.4015,-12.91991758043094,"[-14.532646923198689, -10.222180920006863]",26.125,28.84375,23.375,25.78125,15.125
vllm,digits,scan fallback / bounded repetition,True,106132,164.347667,154.705084,141.913958,145.116375,95.9655,176.994,172.567958,-5.867185811648912,"[-12.307902125559234, -1.13979965081904]",60.34375,60.390625,58.359375,58.890625,25.703125
vllm,hex_number,hexadecimal / short prefix,True,1867,33.957792,29.425584,16.941583,14.098833,66.793208,35.276167,30.6835,-13.346592145920432,"[-16.81449258351668, -11.965749572204443]",25.890625,28.484375,23.390625,25.796875,18.671875
vllm,short_word,scan fallback / short literal,True,68895,105.84975,101.499583,89.517417,86.474125,93.310167,107.722041,105.080333,-4.109756518083419,"[-5.289969096784675, -3.362709380571949]",43.65625,43.203125,40.28125,41.625,24.203125
vllm,blank_lines,scan fallback / empty match,False,263971,185.967416,181.589583,170.117666,166.162958,101.585583,195.452125,206.054042,-2.35408605128975,"[-3.5153191201340195, -1.907143306865433]",56.84375,59.703125,54.171875,56.875,15.9375
vllm,absent_regex,no matches,True,0,28.699708,24.247917,11.819208,8.816625,65.188041,30.753667,25.258291,-15.511624717575522,"[-18.31664999871785, -13.249398732065398]",15.15625,17.734375,10.421875,12.953125,15.015625
vllm,wide_icase_asyncmock,ignore case,True,87,29.82675,25.372208,12.893709,9.829041,65.873542,31.462875,26.553542,-14.934721349124525,"[-17.52648828734812, -13.162328173999304]",17.765625,20.28125,14.265625,16.90625,15.171875
vllm,wide_icase_cache,ignore case,True,9166,60.251958,55.597916,43.15375,40.457333,69.685666,61.996042,57.322959,-7.724300013619478,"[-8.74609908458065, -6.202640258458536]",26.140625,29.5625,24.046875,26.625,15.46875
vllm,wide_icase_class_attention,ignore case,True,227,38.644833,33.282166,21.588292,18.43725,66.721292,40.327542,34.640375,-13.876802107024243,"[-14.751528831342831, -12.20648296598279]",20.6875,23.421875,18.078125,20.78125,15.21875
vllm,wide_icase_def_forward,ignore case,True,1733,39.929292,35.20275,23.145542,20.092667,68.70875,41.839625,38.700916,-11.83727975943073,"[-13.34654922076478, -10.30399104082581]",25.84375,28.578125,22.984375,25.296875,15.15625
vllm,wide_icase_config,ignore case,True,2905,45.70225,41.145791,28.612292,26.114709,70.357,48.744959,43.30775,-9.969878944690901,"[-11.517144041694817, -8.196296347365662]",26.15625,28.71875,23.21875,25.9375,15.28125
vllm,wide_icase_exceptions,ignore case,True,6725,60.434584,54.779709,43.865042,41.21725,74.997875,62.120916,57.69275,-9.357018160330188,"[-10.352498889726613, -6.84026246937165]",27.359375,30.140625,25.1875,27.734375,16.765625
vllm,wide_icase_tensor_creation,ignore case,True,5133,47.908833,43.419917,31.305,28.912541,72.203209,52.334875,45.584083,-9.369704329888407,"[-10.70767210606174, -8.15072179616898]",27.25,29.875,24.734375,27.5,16.203125
vllm,wide_icase_async_def,ignore case,True,1974,35.459042,31.449958,19.37325,16.172125,68.190208,38.980875,34.077208,-11.306238899516796,"[-14.012440394375114, -9.505080220075834]",27.578125,29.890625,25.28125,27.625,16.765625
viberwhisper,word_return,common word,True,268,8.091875,8.072917,4.661292,4.671459,6.861375,9.123333,8.697333,-0.2342843902062186,"[-2.0194040836600147, 0.7892796034981719]",10.109375,10.09375,8.640625,8.734375,6.0
viberwhisper,errors,alternation,True,420,8.380208,8.309708,4.995333,4.938375,7.244209,9.737417,9.272958,-0.841267901703624,"[-2.923441518859371, -0.03540094986563824]",10.46875,10.53125,9.328125,9.203125,6.21875
viberwhisper,todo,ignore case,True,1,7.637167,7.601084,4.297917,4.244292,7.532417,8.970292,8.836625,-0.47246577166637493,"[-1.7517785088254412, 1.6431209188083606]",9.921875,9.875,8.4375,8.4375,5.984375
viberwhisper,short,scan fallback,True,97,8.418041,8.389041,4.999083,4.947542,7.127292,9.074,9.061875,-0.3444982033230737,"[-2.1216738924468292, 1.653962136310616]",10.078125,9.984375,8.484375,8.5,5.984375
viberwhisper,digits,scan fallback,True,88,8.560542,8.511625,5.349375,5.255667,7.461375,8.957875,9.898917,-0.5714240990815744,"[-2.8100934908121156, 1.141759169410439]",10.59375,10.5625,9.421875,9.453125,6.53125
viberwhisper,absent,no matches,True,0,7.357333,7.355916,4.052333,4.013417,7.267916,8.691375,7.909167,-0.01925969641445313,"[-1.4533377210852128, 2.6403749906739105]",9.4375,9.359375,7.453125,7.515625,5.71875
viberwhisper,literal,fixed string,True,66,7.965833,7.970709,4.598458,4.496208,7.299917,8.538083,8.838542,0.06121142635051591,"[-2.3303989038227724, 2.136597492093961]",9.90625,9.8125,8.296875,8.34375,5.859375
viberwhisper,icase_literal,ignore case,True,318,8.3785,8.323459,5.059584,4.931792,7.199792,9.457125,9.686792,-0.6569314316405173,"[-11.007569766829594, 1.6087667493382751]",11.765625,11.640625,10.546875,10.5,6.15625
