repository,sequence,step,commit,version,phase,wall_ms,base_bytes,incremental_bytes,segments,rg_wall_ms
viberwhisper,updates,1,55392aa9b320b1ef6746d16d10881cc9a009feda,direct,merge,6.738250000000001,73883,0,1,5.640459
viberwhisper,updates,1,55392aa9b320b1ef6746d16d10881cc9a009feda,current,incremental,5.789791,73872,19156,2,5.640459
viberwhisper,updates,1,55392aa9b320b1ef6746d16d10881cc9a009feda,main,incremental,10.285416,73872,19156,2,5.640459
viberwhisper,updates,2,c5036467db679a39037dbe18153fb8897646b398,current,incremental,6.941917,73872,46626,3,4.967499999999999
viberwhisper,updates,2,c5036467db679a39037dbe18153fb8897646b398,main,incremental,11.479375,73872,46626,3,4.967499999999999
viberwhisper,updates,2,c5036467db679a39037dbe18153fb8897646b398,direct,merge,7.601792,75062,0,1,4.967499999999999
viberwhisper,updates,3,600541c7091156d4f9a37eaf72ed3bf1b1c431ce,main,incremental,10.536875,73872,66724,4,5.737082999999999
viberwhisper,updates,3,600541c7091156d4f9a37eaf72ed3bf1b1c431ce,direct,merge,7.4897089999999995,76356,0,1,5.737082999999999
viberwhisper,updates,3,600541c7091156d4f9a37eaf72ed3bf1b1c431ce,current,incremental,6.634625,73872,66724,4,5.737082999999999
viberwhisper,updates,4,7932c30b53573ebd8437c4d8f11cac03d6443461,main,incremental,10.456,73872,89200,5,5.8426659999999995
viberwhisper,updates,4,7932c30b53573ebd8437c4d8f11cac03d6443461,direct,merge,6.98175,78293,0,1,5.8426659999999995
viberwhisper,updates,4,7932c30b53573ebd8437c4d8f11cac03d6443461,current,incremental,6.1705,73872,89200,5,5.8426659999999995
viberwhisper,updates,5,2a68d0c0cb9b68961b09e6381ad30f8de532e340,direct,merge,6.438125,77560,0,1,5.475084
viberwhisper,updates,5,2a68d0c0cb9b68961b09e6381ad30f8de532e340,current,incremental,5.848667,73872,90871,6,5.475084
viberwhisper,updates,5,2a68d0c0cb9b68961b09e6381ad30f8de532e340,main,incremental,9.864333,73872,90871,6,5.475084
viberwhisper,updates,6,abb59204e308d524b40c6524f09673372620b28b,current,incremental,6.435459,73872,118431,7,5.550291
viberwhisper,updates,6,abb59204e308d524b40c6524f09673372620b28b,main,incremental,10.039916,73872,118431,7,5.550291
viberwhisper,updates,6,abb59204e308d524b40c6524f09673372620b28b,direct,merge,6.424209,100435,0,1,5.550291
