dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
viberwhisper,word_return,common word,True,268,5.332541,5.40775,4.151,3.982833,6.158458,7.164916,7.400417,1.4103782793231323,"[-5.589572193446967, 5.458104485134574]",9.984375,9.8125,8.6875,8.765625,6.03125
viberwhisper,errors,alternation,True,420,5.492708,5.581375,4.290875,4.17225,6.536875,7.067667,8.062625,1.6142674979263472,"[-7.236965608575085, 4.090277509745643]",10.328125,10.171875,9.125,9.171875,6.21875
viberwhisper,todo,ignore case,True,1,4.863166,4.8085,3.4975,3.434416,6.710666,5.943792,6.221291,-1.1240825421134915,"[-4.259134723156244, 2.41925769042024]",9.796875,9.71875,8.46875,8.5,6.03125
viberwhisper,short,scan fallback,True,97,5.690083,5.735834,4.113625,4.23975,6.499917,6.696459,7.13825,0.8040480253100002,"[-4.074736325552997, 5.521147085843059]",9.640625,9.5625,8.15625,8.171875,5.96875
viberwhisper,digits,scan fallback,True,88,5.800083,5.943667,4.472792,4.492792,6.6205,7.200042,9.175834,2.47555078091124,"[-2.4581567267842663, 5.553416987940318]",10.203125,9.90625,9.03125,8.921875,6.5
viberwhisper,absent,no matches,True,0,4.619292,4.682875,3.232333,3.276625,6.454208,5.525083,5.802416,1.376466350254546,"[-4.133558606519038, 3.3404362369723106]",9.046875,9.03125,7.40625,7.4375,5.734375
viberwhisper,literal,fixed string,True,66,5.123667,5.007792,3.665958,3.595084,6.412375,6.423042,6.628708,-2.261563836994085,"[-5.1561646433990855, 4.175655195534622]",9.71875,9.640625,8.171875,8.265625,5.84375
viberwhisper,icase_literal,ignore case,True,318,5.859833,5.916083,4.451917,4.47025,6.377167,7.238959,7.938458,0.959924967144965,"[-4.229496664441812, 5.114904733644043]",11.5625,11.453125,10.46875,10.546875,6.15625
viberwhisper,function,function definitions,True,813,5.67975,5.640834,4.29075,4.144041,6.394292,6.846792,7.289625,-0.6851710022448221,"[-3.4037539705457753, 7.354868279592441]",10.109375,10.0,8.734375,8.796875,6.140625
viberwhisper,public,optional group,True,357,5.668208,5.582167,4.174042,4.081708,6.727584,6.705875,7.838875,-1.5179577037398695,"[-5.044559771306556, 4.3977468767876005]",10.59375,10.59375,9.328125,9.5,6.125
