repo,step,commit,reference_event,main_ms,rough_ms,direct_ms,direct_b_bytes,direct_m_bytes,direct_segments
viberwhisper,1,fc5d74271283608392878caf8f0d256451681544,incremental,12.159915999999999,51.526958,25.040041,1532067,0,1
viberwhisper,2,25aa9fd3d5eec3165fe03c552c6daef1d71270b5,incremental,10.990207999999999,50.946292,20.292916,1582127,0,1
viberwhisper,3,924ca3ba54e2832cb752fb03311f97425428f15e,incremental,10.345375,51.051208,20.611207999999998,1614251,0,1
viberwhisper,4,a4a44916007f80106e15c34021d4b4a15904239f,incremental,11.268958000000001,56.450292,21.959958,1677919,0,1
viberwhisper,5,2c685d9d3ba933fa5e7e99e24ebd12155bc84f23,incremental,17.600625,64.68675,28.792875,1868857,0,1
viberwhisper,6,426f7f7f387a03f415e753c4575e976580f0c65b,incremental,11.375167000000001,56.701542,23.188708,1891538,0,1
viberwhisper,7,2fee0a2218e285a4c18a5b3503ea2849a05d2ea9,incremental,12.594916,58.209458,24.970959,1922889,0,1
viberwhisper,8,2afe57be7d9a6b88128a3f108339e75afc52c99e,rebuild,31.492791,52.871542,21.19175,1923702,0,1
viberwhisper,9,a1f40ed5be5746284a79cdfd785cdc6ce7cb88f4,incremental,9.423625,50.035917,20.819584,1923802,0,1
viberwhisper,10,c829976a2d0c8dac44309f13deaedd5c46323f05,incremental,9.478375000000002,51.587542,20.495666999999997,1933753,0,1
viberwhisper,11,f01e3331ee68a3848f8be454476c0cad579a4489,incremental,10.024167,52.279417,21.689542,1956865,0,1
viberwhisper,12,e10a53e0e3151392767d7e3a01e3a64906fd246f,incremental,10.050125,54.639708,21.896041,1969711,0,1
viberwhisper,13,cc620e97c0e0852830d4346ac4efc1ce1dcf5910,incremental,10.844417,52.771708000000004,22.378917,1985919,0,1
viberwhisper,14,04903ca04146d6f512fd9720f14b7b206c8ae793,incremental,11.487041999999999,56.988375,23.12775,2013648,0,1
viberwhisper,15,976e1f16c761d5975abd1faf95d5a03996794768,incremental,10.646667,53.514084000000004,22.134,2023039,0,1
viberwhisper,16,2c9f50091b26d41f9abf827ac9fe76a4aaaefc4d,rebuild,26.515957999999998,57.568416,26.614208,2093543,0,1
viberwhisper,17,720255e31d06533caf1c279a9b1d1109f80b18ab,incremental,10.832167,55.825292,23.665334,2101154,0,1
viberwhisper,18,c267b88deeedebd52ba9e543a83918305011263f,incremental,14.0475,61.625167000000005,26.410625,2111906,0,1
viberwhisper,19,65186fe565fcc21af180634a6b0684e2e18ed192,incremental,11.735000000000001,57.223625,25.073334,1908340,0,1
viberwhisper,20,ab1f117d922fe06da6fc2f1f72605ba227ba4233,incremental,9.352292,48.994042,20.667292,1909015,0,1
agentflow,1,9cca7f6765530826d562da26ff4674b1d6f7baf6,incremental,9.315957999999998,40.831916,15.295042,908452,0,1
agentflow,2,5b5b0b114b801c0088ee68f2abe2e69847f6ba1e,incremental,10.491792,47.645374999999994,15.550625,956020,0,1
agentflow,3,3d849065c2f15ad341b10d3635adecda572a389d,incremental,7.533291999999999,39.260000000000005,13.194291999999999,970102,0,1
agentflow,4,96ee4e9aaf03f10f5c50e2b8842484f56c1ccd8b,incremental,7.4466660000000005,41.917125,14.132166999999999,988846,0,1
agentflow,5,7b91e44f4b9ae3f5878ead729dc7cf303f46b764,incremental,18.072291,53.936083,24.250375000000002,1046453,0,1
agentflow,6,8e11dc763cf915bc01901a3d1ce301180dc91737,incremental,20.25975,59.856917,25.123875,1150931,0,1
agentflow,7,77eb240564d52e3845fdc221642f4ff6621eae1e,incremental,10.591292000000001,47.64425,17.953291999999998,1193115,0,1
agentflow,8,5ec17f27e93d7a63506dfe00a2f57dee2923fb6a,rebuild,24.160500000000003,48.039708,19.108542,1254380,0,1
agentflow,9,bf0821e6a40ab47986432a69bfa8ee5e72bb8dd7,incremental,8.554457999999999,44.622417,16.271459,1255795,0,1
agentflow,10,b5ba13dc3366a4942555ddafd6fb52ad61243e4f,incremental,11.533375,50.058417,19.230082999999997,1319824,0,1
agentflow,11,e7b93ba2184c382b934ab05f98bc0c8a637dcefc,incremental,18.452042,58.850041,28.003625,1373389,0,1
agentflow,12,8125a4b669a2026a51d95e6cb86af7019083a17a,incremental,12.975499999999998,55.174833,22.439667,1512103,0,1
agentflow,13,bbf99f98124011bd4f0cda40c7df0b551191ab4b,incremental,10.617834,50.669833999999994,18.916375,1527453,0,1
agentflow,14,135d2eddcadcb2365b7c3107b0d7e167a039d174,incremental,13.058584,54.932541,21.667915999999998,1640424,0,1
agentflow,15,9fd98266044601c28975de64070f6f8a48dfc258,incremental,8.939666,45.41725,18.1745,1643099,0,1
agentflow,16,78b8bc384df3f5dad06a3df622d870ee5a89853a,rebuild,29.443958,58.599208,23.151125,1741675,0,1
agentflow,17,878588e006d46f2c3c94937d54615b328e237f9f,incremental,22.169042,65.23329199999999,34.121083000000006,1854522,0,1
