dataset,query,rg_compatible,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,change_pct,baseline_p95_ms,optimized_p95_ms
vllm,literal_parallel,True,26.266792,26.696042,11.2855,11.176083,67.8015,1.634192709943405,27.783417,27.781042
vllm,word_sampling,True,27.599292,28.249334,12.788708,12.861,67.847375,2.3552850558630434,28.858833,29.252791
vllm,word_asyncmock,True,24.47425,24.430958,9.590084,9.552166,65.986125,-0.1768879536655943,25.800875,26.107625
vllm,def_forward,True,33.875416,33.891292,18.683833,18.764833,68.537083,0.04686584513087233,34.873541,35.288125
vllm,async_def,False,31.52925,31.125542,16.629666,16.593125,68.5535,-1.2804237335172997,34.691916,32.355375
vllm,class_attention,True,32.203791,32.539375,17.3865,17.163542,67.020583,1.042063650208136,33.317125,33.259792
vllm,python_import,True,61.402125,61.262458,46.667458,46.484417,89.304625,-0.2274628117512112,64.464834,63.791417
vllm,decorator,True,39.025916,38.979334,23.723333,23.691208,74.079791,-0.11936170825561643,40.295083,40.472834
vllm,logger,True,28.457,28.312667,13.235042,13.224458,67.46175,-0.5071968232772228,29.381834,30.076208
vllm,exceptions,True,39.281083,39.51775,23.924875,24.082708,75.978875,0.6024961175332022,40.035375,40.473792
vllm,cache,True,41.308416,41.423667,26.2445,25.953416,69.82275,0.27900125727406966,42.008167,42.2125
vllm,tensor_creation,True,38.959334,38.896375,23.597417,23.763917,73.15825,-0.1616018384708484,40.233917,40.232291
vllm,env_vars,True,36.68675,36.355334,21.217959,21.462084,72.854708,-0.903367019428003,38.380917,38.58725
vllm,cuda_call,True,26.611667,26.759167,11.592708,11.720334,67.529166,0.5542681711746988,28.609625,28.208375
vllm,config_assignment,True,30.694542,30.395792,14.978167,15.010291,68.74075,-0.9733000740001163,31.704417,31.070334
vllm,raise_error,True,37.830084,38.035583,22.447792,22.394083,75.301834,0.5432158173373391,39.573667,39.406375
vllm,todo_comment,True,101.353542,104.424333,88.866958,88.813042,68.096125,3.029781633087869,105.789083,107.932417
vllm,return_none,True,52.279375,51.872041,36.7775,36.969542,69.893041,-0.7791485648020791,53.342083,54.096041
vllm,quoted_device,True,30.76725,31.665625,16.155291,16.118167,69.540459,2.9199067189950245,32.408583,32.602125
