dataset,query,pattern,before_ms,after_ms,before_no_refresh_ms,after_no_refresh_ms,rg_ms
vllm,literal_parallel,get_tensor_model_parallel_world_size,27.5075,26.484458,11.769209,11.739333,68.061542
vllm,word_sampling,\bSamplingParams\b,27.595208,27.53025,12.712333,12.5405,68.095041
vllm,word_asyncmock,\bAsyncMock\b,24.670417,25.189917,9.441458,9.459958,66.650542
vllm,def_forward,def\s+forward\b,34.808292,34.644375,19.204708,19.140875,68.894459
vllm,async_def,async\s+def\s+\w+,32.218958,31.534459,16.722333,16.759125,68.845792
vllm,class_attention,^class[ \t]+\w*Attention\b,30.4595,31.441542,15.680917,15.505125,67.532333
vllm,python_import,^from[ \t]+vllm(?:\.[\w.]+)?[ \t]+import\b,63.088458,62.227958,47.207,46.884667,90.075084
vllm,decorator,^[ \t]*@(?:torch|pytest)\.[A-Za-z_]+,38.156875,38.343,22.862459,22.692,74.635208
vllm,logger,logger\.(warning|error)\(,28.927333,28.475291,13.163833,13.221584,68.204875
vllm,exceptions,\b(ValueError|RuntimeError|NotImplementedError)\b,40.219083,40.39725,24.553458,24.739208,76.441792
vllm,cache,\b(kv_cache|block_size)\b,42.108667,41.709042,26.987833,27.076208,69.730542
vllm,tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,44.404917,43.895875,28.522584,28.478375,72.775667
vllm,env_vars,\b(VLLM|CUDA)_[A-Z0-9_]+\b,36.575167,36.445959,21.066042,21.037458,73.280125
vllm,cuda_call,\btorch\.cuda\.[a-z_]+\(,27.106,27.664625,12.329667,12.239917,68.035917
vllm,config_assignment,\bmax_(model_len|num_seqs)[ \t]*=,30.384625,30.680625,14.983416,15.024375,69.267458
vllm,raise_error,raise[ \t]+\w*Error\(,38.483834,38.412666,23.537583,22.880958,75.4395
vllm,todo_comment,^[ \t]*#.*\b(TODO|FIXME)\b,103.131583,104.51125,88.77,90.813375,68.302792
vllm,return_none,^[ \t]*return[ \t]+None[ \t]*$,50.47475,51.972,35.053083,36.828875,69.700459
vllm,quoted_device,"[\""'](?:cuda|cpu|rocm)[\""']",42.844042,32.127167,27.165458,17.742958,69.831417
vllm,icase_sampling,\bSamplingParams\b,30.761042,32.058292,15.075208,16.295375,68.046791
vllm,icase_platform,\b(cuda|rocm)\b,43.835792,44.042625,28.311083,28.350417,75.375208
vllm,icase_todo,\b(TODO|FIXME)\b,30.690291,31.527417,16.539333,16.796875,70.093625
vllm,icase_env,\b(VLLM|CUDA)_[A-Z0-9_]+\b,55.129167,54.908667,39.686,39.398416,80.99925
vllm,icase_logger,logger\.(warning|error)\(,32.5365,33.219042,17.74525,17.940875,67.669459
vllm,icase_literal,get_tensor_model_parallel_world_size,32.556625,33.319291,17.067,18.001542,68.318625
vllm,digits,"\b[0-9]{2,4}\b",167.521208,157.883417,146.859958,152.891166,96.08875
vllm,hex_number,\b0x[0-9A-Fa-f]+\b,29.551416,29.3615,14.568166,14.64775,67.245833
